origin,destination,driving_time_minutes,distance_km
CM23 2JT,CM3 4NQ,38.98,42.3
CM23 2JT,CM6 1AE,15.02,15.48
CM23 2JT,CO15 3DT,67.24,84.4
CM23 2JT,EN11 8FN,26.0,30.57
CM23 2JT,HP23 5BN,61.51,79.17
CM23 2JT,IP33 1UZ,56.06,78.18
CM23 2JT,MK10 9BQ,68.8,76.63
CM23 2JT,MK16 0AG,72.33,81.35
CM23 2JT,MK9 1AE,72.0,82.39
CM23 2JT,NN16 0EF,79.97,110.74
CM23 2JT,NN4 5BZ,83.77,97.57
CM23 2JT,PE19 1RJ,60.21,64.47
CM23 2JT,PE19 2AW,61.01,64.72
CM23 2JT,PE21 7QR,119.55,161.38
CM23 2JT,PE26 1AE,68.64,83.19
CM23 2JT,PE27 5BH,48.17,65.31
CM23 2JT,PE8 4EJ,76.06,101.71
CM23 2JT,PE9 1PJ,82.16,115.86
CM23 2JT,SG2 9XU,33.45,35.3
CM3 4NQ,CM6 1AE,27.31,27.24
CM3 4NQ,CO15 3DT,51.16,68.5
CM3 4NQ,EN11 8FN,47.57,47.22
CM3 4NQ,HP23 5BN,73.85,105.46
CM3 4NQ,IP33 1UZ,73.57,77.04
CM3 4NQ,MK10 9BQ,88.3,126.77
CM3 4NQ,MK16 0AG,91.71,131.38
CM3 4NQ,MK9 1AE,91.37,132.41
CM3 4NQ,NN16 0EF,109.09,146.27
CM3 4NQ,NN4 5BZ,103.14,147.6
CM3 4NQ,PE19 1RJ,93.18,122.03
CM3 4NQ,PE19 2AW,93.42,122.13
CM3 4NQ,PE21 7QR,148.66,196.91
CM3 4NQ,PE26 1AE,97.76,118.72
CM3 4NQ,PE27 5BH,77.28,100.84
CM3 4NQ,PE8 4EJ,105.17,137.24
CM3 4NQ,PE9 1PJ,111.27,151.4
CM3 4NQ,SG2 9XU,63.08,68.0
CM6 1AE,CO15 3DT,55.83,69.8
CM6 1AE,EN11 8FN,35.47,42.64
CM6 1AE,HP23 5BN,70.64,99.87
CM6 1AE,IP33 1UZ,60.7,60.16
CM6 1AE,MK10 9BQ,80.03,92.88
CM6 1AE,MK16 0AG,83.56,97.6
CM6 1AE,MK9 1AE,83.23,98.64
CM6 1AE,NN16 0EF,85.69,120.34
CM6 1AE,NN4 5BZ,95.0,113.83
CM6 1AE,PE19 1RJ,69.78,96.11
CM6 1AE,PE19 2AW,70.02,96.21
CM6 1AE,PE21 7QR,125.26,170.98
CM6 1AE,PE26 1AE,74.35,92.8
CM6 1AE,PE27 5BH,53.88,74.91
CM6 1AE,PE8 4EJ,81.77,111.32
CM6 1AE,PE9 1PJ,87.87,125.47
CM6 1AE,SG2 9XU,44.68,51.56
CO15 3DT,EN11 8FN,87.09,110.89
CO15 3DT,HP23 5BN,115.47,165.96
CO15 3DT,IP33 1UZ,61.76,85.96
CO15 3DT,MK10 9BQ,129.92,187.28
CO15 3DT,MK16 0AG,133.32,191.88
CO15 3DT,MK9 1AE,132.99,192.92
CO15 3DT,NN16 0EF,137.3,188.59
CO15 3DT,NN4 5BZ,144.76,208.1
CO15 3DT,PE19 1RJ,121.39,164.35
CO15 3DT,PE19 2AW,121.64,164.45
CO15 3DT,PE21 7QR,161.3,202.62
CO15 3DT,PE26 1AE,120.69,159.83
CO15 3DT,PE27 5BH,105.5,143.15
CO15 3DT,PE8 4EJ,133.39,179.56
CO15 3DT,PE9 1PJ,139.49,193.71
CO15 3DT,SG2 9XU,96.29,119.8
EN11 8FN,HP23 5BN,45.66,62.75
EN11 8FN,IP33 1UZ,76.43,105.08
EN11 8FN,MK10 9BQ,59.19,78.02
EN11 8FN,MK16 0AG,62.6,82.62
EN11 8FN,MK9 1AE,62.27,83.66
EN11 8FN,NN16 0EF,95.62,120.53
EN11 8FN,NN4 5BZ,74.03,98.84
EN11 8FN,PE19 1RJ,58.7,67.5
EN11 8FN,PE19 2AW,59.5,67.75
EN11 8FN,PE21 7QR,134.61,170.56
EN11 8FN,PE26 1AE,86.05,97.54
EN11 8FN,PE27 5BH,65.57,79.65
EN11 8FN,PE8 4EJ,91.12,110.9
EN11 8FN,PE9 1PJ,97.22,125.05
EN11 8FN,SG2 9XU,21.22,23.06
HP23 5BN,IP33 1UZ,103.53,145.23
HP23 5BN,MK10 9BQ,32.92,35.03
HP23 5BN,MK16 0AG,37.58,40.37
HP23 5BN,MK9 1AE,34.65,36.54
HP23 5BN,NN16 0EF,76.65,78.88
HP23 5BN,NN4 5BZ,50.42,58.32
HP23 5BN,PE19 1RJ,70.6,78.89
HP23 5BN,PE19 2AW,71.4,79.14
HP23 5BN,PE21 7QR,144.82,171.52
HP23 5BN,PE26 1AE,99.66,114.5
HP23 5BN,PE27 5BH,89.49,121.66
HP23 5BN,PE8 4EJ,84.12,95.2
HP23 5BN,PE9 1PJ,104.82,119.4
HP23 5BN,SG2 9XU,41.36,56.08
IP33 1UZ,MK10 9BQ,95.91,122.53
IP33 1UZ,MK16 0AG,99.44,127.25
IP33 1UZ,MK9 1AE,99.11,128.28
IP33 1UZ,NN16 0EF,80.89,114.05
IP33 1UZ,NN4 5BZ,97.28,137.09
IP33 1UZ,PE19 1RJ,64.99,89.81
IP33 1UZ,PE19 2AW,65.23,89.91
IP33 1UZ,PE21 7QR,103.48,119.0
IP33 1UZ,PE26 1AE,62.91,76.2
IP33 1UZ,PE27 5BH,49.09,68.62
IP33 1UZ,PE8 4EJ,76.98,105.02
IP33 1UZ,PE9 1PJ,83.08,119.17
IP33 1UZ,SG2 9XU,69.47,94.29
MK10 9BQ,MK16 0AG,6.01,5.74
MK10 9BQ,MK9 1AE,5.67,6.78
MK10 9BQ,NN16 0EF,45.08,44.26
MK10 9BQ,NN4 5BZ,18.85,23.7
MK10 9BQ,PE19 1RJ,42.78,47.64
MK10 9BQ,PE19 2AW,43.58,47.9
MK10 9BQ,PE21 7QR,113.25,136.9
MK10 9BQ,PE26 1AE,71.84,83.25
MK10 9BQ,PE27 5BH,65.28,76.49
MK10 9BQ,PE8 4EJ,52.55,60.58
MK10 9BQ,PE9 1PJ,73.25,84.77
MK10 9BQ,SG2 9XU,47.25,51.1
MK16 0AG,MK9 1AE,7.29,8.05
MK16 0AG,NN16 0EF,43.21,41.22
MK16 0AG,NN4 5BZ,21.62,26.3
MK16 0AG,PE19 1RJ,46.35,52.08
MK16 0AG,PE19 2AW,47.15,52.33
MK16 0AG,PE21 7QR,111.38,133.86
MK16 0AG,PE26 1AE,73.42,86.2
MK16 0AG,PE27 5BH,68.01,82.03
MK16 0AG,PE8 4EJ,50.68,57.54
MK16 0AG,PE9 1PJ,71.38,81.73
MK16 0AG,SG2 9XU,50.16,54.8
MK9 1AE,NN16 0EF,46.86,46.89
MK9 1AE,NN4 5BZ,22.12,27.91
MK9 1AE,PE19 1RJ,46.84,53.69
MK9 1AE,PE19 2AW,47.64,53.94
MK9 1AE,PE21 7QR,115.03,139.53
MK9 1AE,PE26 1AE,75.91,89.3
MK9 1AE,PE27 5BH,69.34,82.54
MK9 1AE,PE8 4EJ,54.33,63.21
MK9 1AE,PE9 1PJ,75.03,87.4
MK9 1AE,SG2 9XU,50.66,56.41
NN16 0EF,NN4 5BZ,33.47,36.22
NN16 0EF,PE19 1RJ,40.15,49.79
NN16 0EF,PE19 2AW,40.39,49.89
NN16 0EF,PE21 7QR,86.78,104.9
NN16 0EF,PE26 1AE,48.78,57.21
NN16 0EF,PE27 5BH,43.37,53.03
NN16 0EF,PE8 4EJ,26.07,28.58
NN16 0EF,PE9 1PJ,39.1,38.14
NN16 0EF,SG2 9XU,75.69,97.04
NN4 5BZ,PE19 1RJ,57.31,67.89
NN4 5BZ,PE19 2AW,57.08,59.55
NN4 5BZ,PE21 7QR,104.08,128.93
NN4 5BZ,PE26 1AE,66.12,81.27
NN4 5BZ,PE27 5BH,60.71,77.09
NN4 5BZ,PE8 4EJ,43.38,52.61
NN4 5BZ,PE9 1PJ,63.89,69.15
NN4 5BZ,SG2 9XU,61.12,70.62
PE19 1RJ,PE19 2AW,1.09,0.53
PE19 1RJ,PE21 7QR,79.19,100.03
PE19 1RJ,PE26 1AE,32.35,32.57
PE19 1RJ,PE27 5BH,24.82,22.19
PE19 1RJ,PE8 4EJ,35.71,40.36
PE19 1RJ,PE9 1PJ,41.8,54.52
PE19 1RJ,SG2 9XU,39.54,45.23
PE19 2AW,PE21 7QR,79.53,100.13
PE19 2AW,PE26 1AE,32.68,32.67
PE19 2AW,PE27 5BH,25.67,23.06
PE19 2AW,PE8 4EJ,36.04,40.47
PE19 2AW,PE9 1PJ,42.14,54.62
PE19 2AW,SG2 9XU,39.48,45.25
PE21 7QR,PE26 1AE,66.58,70.17
PE21 7QR,PE27 5BH,80.21,101.2
PE21 7QR,PE8 4EJ,64.63,77.42
PE21 7QR,PE9 1PJ,51.05,56.52
PE21 7QR,SG2 9XU,114.71,147.27
PE26 1AE,PE27 5BH,22.57,18.87
PE26 1AE,PE8 4EJ,35.42,36.24
PE26 1AE,PE9 1PJ,37.68,42.03
PE26 1AE,SG2 9XU,67.58,79.59
PE27 5BH,PE8 4EJ,39.63,44.27
PE27 5BH,PE9 1PJ,43.63,51.52
PE27 5BH,SG2 9XU,55.5,70.68
PE8 4EJ,PE9 1PJ,24.36,25.23
PE8 4EJ,SG2 9XU,71.41,87.75
PE9 1PJ,SG2 9XU,76.85,101.48
